date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,-2.6,-3.3,-2,0,,,6.2,31.5,1030.7,
2025-01-02 00:00:00,0.3,-4,6,0,,,13.4,38.9,1021.1,
2025-01-03 00:00:00,2.9,-1,6,7.6,,,15.2,53.7,1016.8,
2025-01-04 00:00:00,-2.2,-3,-1,0,,,8.6,33.3,1024.6,
2025-01-05 00:00:00,-0.9,-3.1,2.2,0,,,13.2,38.9,1017.8,
2025-01-06 00:00:00,5.8,1,12,0,,,14.8,42.6,1011.8,
2025-01-07 00:00:00,7.9,4.4,12,1.2,,,8.8,35.2,1009.9,
2025-01-08 00:00:00,5.6,3,10,0,,,11.2,38.9,1013.5,
2025-01-09 00:00:00,6.9,3,10.1,0.1,,,12.7,40.8,1011.6,
2025-01-10 00:00:00,2.9,-1,9,7.9,,,19.6,59.3,1015.8,
2025-01-11 00:00:00,-1.4,-5,2,0,,,7.1,27.8,1020.8,
2025-01-12 00:00:00,-0.4,-3.1,3,0,,,13.9,38.9,1026.8,
2025-01-13 00:00:00,0.6,-2,3,0,,,16.3,42.6,1035.5,
2025-01-14 00:00:00,-1.6,-5,3,0,,,9.6,37,1036.7,
2025-01-15 00:00:00,-1.8,-3.1,0,0.1,,,7.3,29.6,1029.3,
2025-01-16 00:00:00,-0.8,-1.3,0,0,,,4.9,25.9,1038.3,
2025-01-17 00:00:00,-1.7,-2.4,-1,0,,,6.9,27.8,1042.5,
2025-01-18 00:00:00,-2.8,-3,-2,0,,,5,29.6,1038.2,
2025-01-19 00:00:00,-1.7,-3,-1,0,,,5.3,29.6,1032.6,
2025-01-20 00:00:00,-1.5,-2.1,-1,0,,,8.8,27.8,1028.9,
2025-01-21 00:00:00,-1,-1.4,-0.5,1.3,,,2.6,27.8,1022,
2025-01-22 00:00:00,0.6,-1,2,0,,,6.6,29.6,1019.2,
2025-01-23 00:00:00,5.9,0,10,4,,,11.3,37,1013.8,
2025-01-24 00:00:00,5.1,0.3,8,2.6,,,9.2,31.5,1019.1,
2025-01-25 00:00:00,3.4,0,5,0,,,11.7,33.3,1020.7,
2025-01-26 00:00:00,6.6,2,14,0.1,,,10.1,38.9,1016.7,
2025-01-27 00:00:00,7.7,3,14,0,,,15,40.8,1014.3,
2025-01-28 00:00:00,11,4.3,18,0.9,,,19.1,37,1007.2,
2025-01-29 00:00:00,8.5,4.2,15,0,,,11.1,38.9,1014.1,
2025-01-30 00:00:00,6.2,1.5,11,0,,,6.5,29.6,1019.1,
2025-01-31 00:00:00,7.3,2.3,13.4,0,,,10.8,37,1024.6,
2025-02-01 00:00:00,5,0,10,0,,,8.7,33.3,1030.4,
2025-02-02 00:00:00,3,-1.3,8,0,,,9.1,29.6,1024.5,
2025-02-03 00:00:00,2.7,-1,5,0,,,5.4,31.5,1027.6,
2025-02-04 00:00:00,0.5,-4.1,6,0,,,5.5,27.8,1031.9,
2025-02-05 00:00:00,0.2,-5,7,0,,,7.1,31.5,1034.9,
2025-02-06 00:00:00,0.2,-4,7,0,,,10.7,35.2,1036.1,
2025-02-07 00:00:00,0.8,-4.4,8,0,,,15.4,35.2,1034.8,
2025-02-08 00:00:00,0.8,-5,7.2,0,,,14.7,35.2,1033.2,
2025-02-09 00:00:00,-1.1,-6,6,0,,,12.6,37,1032.2,
2025-02-10 00:00:00,-0.7,-6,5,0,,,8,31.5,1029.6,
2025-02-11 00:00:00,0.8,-3,7,0,,,12.6,31.5,1029.1,
2025-02-12 00:00:00,1.1,-4,6,5.4,,,13.8,37,1025.9,
2025-02-13 00:00:00,5.5,1.6,11,5.4,,,10,31.5,1019,
2025-02-14 00:00:00,3,0,6.1,16.7,,,17,48.2,1015.7,
2025-02-15 00:00:00,-0.6,-1.2,0.2,0.4,,,14.3,46.3,1023.2,
2025-02-16 00:00:00,-0.6,-1.2,0.1,0,,,11,31.5,1021.4,
2025-02-17 00:00:00,-0.9,-4,2,0,,,11,35.2,1024.5,
2025-02-18 00:00:00,-1.7,-5.4,1.6,0,,,7.6,29.6,1027.8,
2025-02-19 00:00:00,-1,-4,2.2,0,,,9.5,31.5,1033.4,
2025-02-20 00:00:00,-2,-7.3,3,0,,,9.2,29.6,1034.3,
2025-02-21 00:00:00,-1.6,-7,5,0,,,10.2,31.5,1035,
